taxon	marker1	marker2	marker3	marker4	marker5	marker6	marker7	marker8	marker9	marker10	marker11	marker12	marker13	marker14	marker15	marker16	marker17	marker18	marker19	marker20	marker21	marker22	marker23	marker24	marker25	marker26	marker27	marker28	marker29	marker30	marker31	marker32	marker33	marker34	marker35	marker36	marker37	marker38	marker39	marker40	marker41	marker42	marker43	marker44	marker45	marker46	marker47	marker48	marker49	marker50	marker51	marker52	marker53	marker54	marker55	marker56	marker57	marker58	marker59	marker60	marker61	marker62	marker63	marker64	marker65	marker66	marker67	marker68	marker69	marker70	marker71	marker72	marker73	marker74	marker75	marker76	marker77	marker78	marker79	marker80	marker81	marker82	marker83	marker84	marker85	marker86	marker87	marker88	marker89	marker90	marker91	marker92	marker93	marker94	marker95	marker96	marker97	marker98	marker99	marker100	marker101	marker102	marker103	marker104	marker105	marker106	marker107	marker108	marker109	marker110	marker111	marker112	marker113	marker114	marker115	marker116	marker117	marker118	marker119	marker120	marker121	marker122	marker123	marker124	marker125	marker126	marker127	marker128	marker129	marker130	marker131	marker132	marker133	marker134	marker135	marker136	marker137	marker138	marker139	marker140	marker141	marker142	marker143	marker144	marker145	marker146	marker147	marker148	marker149	marker150	marker151	marker152	marker153	marker154	marker155	marker156	marker157	marker158	marker159	marker160	marker161	marker162	marker163	marker164	marker165	marker166	marker167	marker168	marker169	marker170	marker171	marker172	marker173	marker174	marker175	marker176	marker177	marker178	marker179	marker180	marker181	marker182	marker183	marker184	marker185	marker186	marker187	marker188	marker189	marker190	marker191	marker192	marker193	marker194	marker195	marker196	marker197	marker198	marker199	marker200	marker201	marker202	marker203	marker204	marker205	marker206	marker207	marker208	marker209	marker210	marker211	marker212	marker213	marker214	marker215	marker216	marker217	marker218	marker219	marker220	marker221	marker222	marker223	marker224	marker225	marker226	marker227	marker228	marker229	marker230	marker231	marker232	marker233	marker234	marker235	marker236	marker237	marker238	marker239	marker240	marker241	marker242	marker243	marker244	marker245	marker246	marker247	marker248	marker249	marker250	marker251	marker252	marker253	marker254	marker255	marker256	marker257	marker258	marker259	marker260	marker261	marker262	marker263	marker264	marker265	marker266	marker267	marker268	marker269	marker270	marker271	marker272	marker273	marker274	marker275	marker276	marker277	marker278	marker279	marker280	marker281	marker282	marker283	marker284	marker285	marker286	marker287	marker288	marker289	marker290	
Saguinus bicolor	HM760210	HM762114									HM765388																								EU497280													HM762286					HM764834													HM759506			HM760031		HM761788									HM760896																											HM762644										HM757135				HM757874		HM757011																																AH012138				HM760731							HM758952																		HM761637									HM759297	HM758609	HM765039					HM756855				HM757251				HM758423																		HM763740					HM762787																		HM758801											HM757398																							HM762449	HM760541	HM760391						
Saguinus midas	HM760219	HM762121																																	EU497272													HM762265																		HM759515					HM761794			HM763457						HM760901																											HM762653										HM757142				HM757879		HM757014																																AH012147				HM760740							HM758958																		HM761646				HM764089					HM759304	HM758616	HM765048					HM756861				HM757256				HM758432																							HM762793																		HM758811											HM757403																								HM760547	HM760400						
Callithrix geoffroyi	HM760109								AY118192																														AF338378		HM759630						JF938426																						HM759925		HM761757			HM763417																														HM757542													HM757102																																										HM760635							HM758918		HM765163														HM763248		HM761534				HM764208					HM759260	HM758484	HM764933					HM756827		HM763984					HM763042	HM758324						HM759400		HM764305								HM762290							HM762756															JF938278			HM758687											HM757367																							HM762416	HM760514	HM760285						
Callithrix kuhlii	HM760115								AY118193																														AF338380		HM759632						JF938434																						HM759932		HM761759			HM763419																														HM757544													HM757104						HM756991																																				HM760642						AF032044	HM758920		HM765165														HM763250		HM761541									HM759263	HM758487	HM764940					HM756925							HM763044	HM758331						HM759407		HM764307								HM762186		HM763712					HM762758															JF938286			HM758696											HM757369																							HM762418	HM760516	HM760292						
Rhinopithecus avunculus			JN103733																AF020415																	AF183635			JF293190											JN103954													AF075447																								AF172210												JN104016																										JN103761	JN103560	JN103942	JN103584	JN103884	JN103976	JN103453		JN103775	JN103863	JN103520	JN103873	JN103474	JN103483			JN103720	JN103809	JN103676	JN103852	JN103757	JN103713	JN103926	JN103504	JN103922	JN103835	JN103542																		JN103522	JN103604	JN103908	JN104003	JN103635	JN103624	JN103650	JN103690	JN103464	JN103663	JN103990																											HM125571			JN103571									JN103995														GQ334695																						AY532298													AF183637	AF183638	AF183634	AY221132		AF172176				AF183636															
Rhinopithecus bieti			JN103739									GU064926							AY998832																	AF183685			AF454966						AY232666					JN103957													AF075445																								AF172212												JN104015																										JN103768	JN103550	JN103940	JN103575	JN103886	JN103969	JN103441		JN103780	JN103866	JN103519	JN103881	JN103472	JN103488			JN103727	JN103803	JN103670	JN103842	JN103746	JN103714	JN103936	JN103501	JN103919	JN103832	JN103536																		JN103524	JN103602	JN103903	JN104011	JN103627	JN103618	JN103638	JN103688	JN103461	JN103653	JN103986																											HM125573			JN103562									JN104001														GQ334693																						AY532297													AF183687	AF183688	AF183684	AY221131		AF172178				AF183686															
Rhinopithecus roxellana			JN103734									GU064925							AF295581																	AF183670			JQ821865						AY233856					JN103953													AF075444																								AF172211												JN104028																										JN103762	JN103553	JN103941	JN103586	JN103883	JN103968	JN103443		JN103784	JN103864	JN103511	JN103872	JN103475	JN103480			JN103718	JN103804	JN103667	JN103853	JN103758	JN103711	JN103925	JN103505	JN103917	JN103838	JN103546																		JN103523	JN103599	JN103906	JN104006	JN103636	JN103620	JN103647	JN103686	JN103466	JN103662	JN103991																											HM125572			JN103569									JN103993														GQ334713																						AY532296													AF183672	AF183673	AF183669	AY221130		AF172177				AF183671															
Propithecus diadema				HM756884			HM762143			AY043341						HM758781	HM764363	HM759815	HQ731536		HM764862										HM758404	HM762959														HM765222		HM762281				HM758599		HM758980																		HM759685							HM760572			HM757756			HM757900	HM760192			HM762473						HM763135	HM757423	HM760013	HM762818					HM759148	HM757603			HM762624					HM761172		HM764041								HM763609		HM760887																																			HM760712		HM761317		HM765019	HM761619			HM761968													HM761814																					HM761358																HM761045		HM763307																					HM764077																																			HM760372		HM765370				HM758258						HM763475	HM764686	HM759488	HM764498	
Propithecus tattersalli				HM756886			HM762145			AY043342						HM758795	HM764365	HM759858	U53573		HM764864										HM758417	HM762971														HM765224		HM762280				HM758601		HM758982																		HM759687							HM760574			EU342336			HM757902	HM760205			HM762475						HM763137	HM757425	HM760026	HM762820					HM759150	HM757605			HM762637					HM761174		HM764043								HM763611		EU057221																																			HM760725		HM761319		HM765032	HM761630			HM761970													HM761816																					HM761360																HM761047		HM763308																					HM764079																																			HM760385		EU057453				HM758260						HM763477	HM764688	HM759500	HM764510	
Propithecus verreauxi				HM756887			HM762146			AJ429620						HM758799	HM764366	HM759768	HQ731525		HM764865										HM758421	HM762975														HM765225		HM762270				HM758602		HM758983																		HM759688							HM760575			HM757759			HM757903	HM760208			HM762476						HM763138	HM757426	HM760029	HM762821					HM759151	HM757606			HM762641					HM761175		HM764044								HM763612		HM760890																																			HM760728		HM761320		HM765036	HM761634			HM761971													HM761817																					HM761361																HM761048		JN633191																					HM764139																																			HM760389		HM765386				HM758261						HM763478	HM764689	HM759504	HM764514	
Saimiri boliviensis					AF032081														JN400559																																																																																							AF311918																																																											AF032080																																																																																																																														
Saimiri sciureus					AF068765														U38273																																																																																							HQ285857																																																											AF068764																																																																																																																														
Saimiri ustus					AF068763														EU232708																																																																																							HQ285856																																																											AF068762																																																																																																																														
Tarsius tarsier						AB675925																FJ648384																											FJ648373																																																																																																																							FJ648394																																																																																																																						FJ648401					
Tarsius bancanus						AB675927																AY011840																											AY011534																																																																																																																							HM765216																																																																																																																						AY011413					
Tarsius syrichta						AB675926																AF535072																											AF535054																																																																																																																							HM765217																																																																																																																						AF535045					
Ateles paniscus								HM761509	AF181087																					HM757125									HM757995		HM759653																		HM760258																	HM758223				HM760783								HM758097																			HM762513			HM759870								HM762103			HM757867																																	HM756847		HM760082	HM764219				HM761204					HM758941		HM765186															HM757007							HM761020	HM763272		HM759285	HM758473	HM764905			HM764654				HM764003			HM761934		HM763028	HM758299			HM759374	HM759898								HM764823		HM763440			HM762438					HM761151	HM762776			HM763851	HM757245	HM761779	HM764398												HM758652											HM757390																						HM763512									
Alouatta caraya								HM761499	AF396459										AY374378		HM764810																					AF181086	HM763258												HM758090	HM762424	HM757855	HM759888	HM760248												HM761765			HM763426		HM758209				HM760771		HM757717																					HM759098	HM757551			HM762503			HM759778			HM757237				HM757111															AY065859																						HM756918		HM760072			HM760602							HM758927		HM765172															HM756997											HM758489	HM764895			HM764642							HM761922		HM763016	HM758290		AY205134						HM764314										HM763719																							HM758641											HM757376																															
Ateles belzebuth								HM761498																						HM757120									HM757990		HM759648																		HM760247																	HM758218				HM760778		HM757726						HM758092																HM757560			HM762502			HM759878								HM762098			HM757862																																	HM756842		HM760071	HM764109				HM761199					HM758936		HM765181															HM757002							HM761015	HM763267		HM759280	HM758468	HM764894							HM763998					HM763024	HM758289			HM759363	HM759887				HM764323				HM764818	HM762203	HM763435			HM762433	HM763728				HM761147	HM762773				HM757240	HM761774	HM764388												HM758640											HM757385																						HM763507									
Alouatta belzebul								HM761497											DQ387009		HM764809																						HM763257												HM758089	HM762423	HM757854	HM759886	HM760246												HM761764			HM763425		HM758208				HM760770		HM757716																					HM759097	HM757550			HM762501			HM759876			HM757236				HM757110																																					HM756835		HM760070			HM760600							HM758926		HM765171															HM756996											HM758460	HM764893			HM764641							HM761921		HM763015	HM758288								HM764313										HM763718																							HM758639											HM757375																															
Ateles geoffroyi								HM761503																															DQ976605		HM759651																		HM760252					HM762854												HM758221				HM760781		HM757729						HM758095																HM757563			HM762507			HM759796								HM762101			HM757865																																	HM756845		HM760076	HM764101				HM761202					HM758939		HM765184															HM757005							HM761018	HM763270		HM759283	HM758471	HM764899			HM764652				HM764001			HM761933		HM763027	HM758294			HM759368	HM759892				HM764326				HM764821	HM762262	HM763438			HM762436	HM763731				HM761150	HM762774			HM763849	HM757243	HM761777	HM764392												HM758646											HM757388																						HM763510									
Ateles belzebuth chamek								HM761501	AF377898																					HM757121									HM757991		HM759649																		HM760250					HM762852												HM758219				HM760779		HM757727						HM758093																HM757561			HM762505			HM759844								HM762099			HM757863																																	HM756843		HM760074	HM764108				HM761200					HM758937		HM765182															HM757003							HM761016	HM763268		HM759281	HM758469	HM764897			HM764650				HM763999			HM761931		HM763025	HM758292			HM759366	HM759890				HM764324				HM764819	HM762258	HM763436			HM762434	HM763729				HM761148	HM762771			HM763847	HM757241	HM761775	HM764390												HM758644											HM757386																						HM763508									
Ateles fusciceps								HM761502	AF216232																					HM757122									HM757992		HM759650																		HM760251					HM762853												HM758220				HM760780		HM757728						HM758094																HM757562			HM762506			HM759843								HM762100			HM757864																																	HM756844		HM760075	EU142156				HM761201					HM758938		HM765183															HM757004							HM761017	HM763269		HM759282	HM758470	HM764898			AY011351				HM764000			EU142178		HM763026	HM758293			HM759367	HM759891				HM764325				HM764820	HM762193	HM763437			HM762435	HM763730				HM761149	HM762772			AY011477	HM757242	HM761776	HM764391												HM758645											HM757387																						HM763509									
Alouatta palliata								HM761510	L22774										DQ875741		HM764811																					AF216252	HM763259												HM758091	HM762425	HM757856	HM759899	HM760259												HM761766			HM763427		HM758210				HM760772		HM757718																					HM759099	HM757552			HM762514			HM759723			HM757238				HM757112															DQ875672																						HM756836		HM760083			HM760611							HM758928		HM765173															HM756998											HM758461	HM764906			HM764643							HM761923		HM763017	HM758300		AY205135						HM764315										HM763720																							HM758653											HM757377																															
Callithrix jacchus									AY321457																														AF338379		HM759631						JF938430																						HM759931		HM761758			HM763418						HM760793																								HM757543													HM757103						HM756990																																				HM760641						AF084622	HM758919		HM765164														HM763249		HM761540				HM764113					HM759261	HM758485	HM764939					HM756828		HM763985					HM763043	HM758330						HM759406		HM764306										HM763711					HM762757															JF938282			HM758694											HM757368																							HM762417	HM760515	HM760291						
Mandrillus leucophaeus									M74006																																																																																	HQ285853																																																																																																																																																																																																									
Mandrillus sphinx									FJ713421																																																																																	HQ285854																																																																																																																																																																																																									
Cercocebus galeritus									M74004																																																																																	HQ285844																																																																																																																																																																																																									
Alouatta seniculus									AF054294										EU232713																							AF054292																																																																																																																																																																								AY205132																																																																																	
Cercocebus torquatus									FJ713422																																																																																	HQ285845																																																																																																																																																																																																									
Callithrix argentata									AY118179																																						JF938411																																																																																																																																																																																																							JF938266																																													
Lemur catta										AY012130																																																																																																																																																																																																																																																																																									
Lepilemur septentrionalis										DQ529439							HM764375																													HM765242																																			AJ270662		HM760159								HM761587	AJ304719	HM759979	HM762928								AJ304740					HM762591															HM763569		HM760846																																			HM760683				HM764986																								HM758372																																																																																								HM760339		HM765338												HM759455	HM764467	
Hapalemur aureus										AY582715																																																																																																																																																																																																																																																																																									
Varecia variegata										AY043339																																																																																																																																																																																																																																																																																									
Lepilemur mustelinus										DQ529400																																																																							AJ429623											AJ007782																																																																																																																																																																																																							
Eulemur coronatus										AY043335									AY441448	EU057372												HM763007	EU342271	HM761668			Z34981									HM765226					EU342245																EU057227	EU057314		EU057488							EU057343	EU342339																									EU342307		AF224523		HM762678	AF175802														EU057256		EU057198																EU333236												EF552657							HM760763	EU342285			HM765072																							EU057401	HM758454												AF175773				HM760063												EU057459													EU057285	HM760242																																														HM760425		HM765418												HM759539	HM764545	
Lepilemur leucopus										DQ529340																																																																							AJ429622											AJ406016										AJ406018																																																																																																																																																																																													
Hapalemur simus										AY582714																																																																																																																																																																																																																																																																																									
Lepilemur edwardsi										DQ529325																																																																							AY043346											AJ405998																																																																																																																																																																																																							
Eulemur mongoz										AY043338									AF081051	EU057380												HM762906	AF081064	HM761563			Z35096									HM765232					EU342253																EU057235	EU057322		EU057496							EU057351	AY434044																									EU342315		EF552602		HM762566	AF175814														HM763550		HM760825																EU333178												EF552650							HM760659	EU342292			HM764964																							EU057409	HM758349												AF175784				HM759954												EU057467													EU057293	HM760136																																														HM760314		HM765316												HM759431	HM764444	
Lepilemur dorsalis										DQ529444							HM764373																													HM765240																																			AJ270616		HM760155								HM761584	AJ406007	HM759975	HM762926								AJ406013					HM762587															HM763567		HM760844																																			HM760679				HM764982																								HM758369																																																																																								HM760335		HM765334												HM759451	HM764465	
Lepilemur ruficaudatus										DQ529379							EU057298																													EU342232																																			AY043345		HM760245								HM761673	AJ406030	HM760068	HM763012								AJ406024					HM762683															EU057269		EU057211																																			HM760767				HM765077																								HM758458																																																																																								HM760430		EU057443												HM759544	HM764550	
Eulemur macaco										AY043336									Z34982													HM762905	JX856226	HM761562												HM765230																																																									HM759153				HM762565															HM763548		HM760823																																			HM760658				HM764963																								HM758348																HM759953																										HM760135																																														HM760313		HM765315												HM759430	HM764443	
Eulemur rubriventer										AY043337									AF081052	EU057381												HM763011	AF081065	HM761672			Z35097									HM765233					EU342254																EU057236	EU057323		EU057497							EU057352	AY434045																									EU342316		EF552600		HM762682	AF175818														EU057265		EU057207																EU333239												EF552649							HM760766	EU342293			HM765076																							EU057410	HM758457												AF175788				HM760067												EU057468													EU057294	HM760244																																														HM760429		HM765422												HM759543	HM764549	
Eulemur fulvus										DQ073499									Z34983																																																																																																																									AF257979																																																											AY043334																																																																																												
Macaca fascicularis												AB296186									HM764745											HM762934						AF424967	AF284301		HM759574				AM492812			HM762275																		HM759461										HM758153				HM760851		FJ846595																		HM765343				HM757483			HM762597		HM763362							HM760165			HM761089	HM762360			HM756948																AF284250																				HM760689	AF353047	HM761279	HM758753				HM758859		HM765105																									HM759199	HM758555	HM764992			HM764578				HM763926			HM761860			HM758377								HM764248															HM762713			HM763789			HM764471	HM761390									HM071271	AY224284		HM759985	HM757309	HM761593	AY224338		HM763190	HM759810	HM758039	HM756771	HM760345		HM760948	HM757792	HM764148	HM757045							HM760459		HM761702	HM762026																	
Macaca maura												AB296213									HM764747											HM762931						AY224250	HM071766		HM759576				AF383995			HM762241																		HM759458										HM758155				HM760853		HM757658																		HM765340			HM759036	HM757485			HM762594		HM763364							HM760162			HM761091	HM762362			HM756949																AF284257																				HM760686	HM071485	HM761281	HM758750				HM758861		HM765107																									HM759201	HM758557	HM764989			HM764580				HM763928			HM761862			HM758375								HM764250															HM762715			HM763791			HM764469	HM761423									HM071247	AY224291		HM759982	HM757311		AY224346		HM763192	HM759721	HM758040	HM756773	HM760342		HM760950	HM757794	HM764158	HM757047							HM760461		HM761704	HM762028				HM763575													
Macaca mulatta												AB296175									HM764748											HM762937						AF424949	AF284309		HM759577				AM492818			HM762276																		HM759465										HM758156				HM760854		JQ821933																		HM765347			HM759037	HM757486			HM762600		HM763365							HM760168			HM761092	HM762363			HM756950																AF284258																				HM760693	AF353043	HM761282	HM758758				HM758862		HM765108																									HM759202	HM758558	HM764996			HM764581				HM763929			HM761863			HM758381								HM764251															HM762716			AY011478			HM764474	HM761424									HM757187	AY224292		HM759989	HM757312	HM761597	AY224350		AF286025	HM759801	HM758041	HM756774	HM760349		HM760951	HM757795	HM764098	HM757048							HM760462		HM761705	HM762029				HM763576													
Macaca arctoides												AB296201									HM764743											HM762930						AY224243	AF284291		HM759572				AM492800			HM762305																		HM759457										HM758151				HM760849		HM757654																		HM765339			HM759033	HM757481			HM762593		HM763360							HM760161			HM761087	HM762358																			AF284240																				HM760685	AF353028	HM761277	HM758749				HM758857		HM765103																									HM759197	HM758553	HM764988			HM764576				HM763924			HM761858			HM758374								HM764246															HM762711						HM764468	HM761387										AY224271		HM759981	HM757307	HM761589	AY224324		HM763188	HM759851		HM756769	HM760341		HM760946	HM757790	HM764142	HM757043							HM760457		HM761700	HM762024				HM763573													
Macaca fuscata												AB296182									HM764746											HM762935						AF424946	AF284306		HM759575																									HM759462										HM758154				HM760852		HM757657																		HM765344			HM759035	HM757484			HM762598		HM763363										HM761090	HM762361																			AF425275																				HM760690	AB162928	HM761280	HM758754				HM758860		HM765106																									HM759200	HM758556	HM764993			HM764579				HM763927			HM761861			HM758378								HM764249															HM762714			HM763790			HM764472	HM761422										AY224288		HM759986	HM757310	HM761594	AY224343		HM763191	HM759850		HM756772	HM760346		HM760949	HM757793	HM764140	HM757046							HM760460		HM761703	HM762027				HM763574													
Macaca ochreata												AB296220									HM764751											HM762941						AY224260	HM071773		HM759580				AY206539			HM762315																		HM759469										HM758159				HM760856		HM071449																		HM765350			HM759040	HM757489			HM762604		HM763368							HM760172			HM761095	HM762365			HM756953																AF284269																				HM760697	HM071484	HM761285	HM758761				HM758865		HM765111																									HM759205	HM758561	HM765000			HM764584				HM763932			HM761866			HM758385								HM764254															HM762719			HM763793			HM764478	HM761392									HM071256	AY224305		HM759993	HM757315	HM761601	AY224360		HM763196	HM759824	HM758044	HM756777	HM760352		HM760954	HM757798	HM764162	HM757051							HM760465		HM761708	HM762031				HM763579													
Macaca radiata												AB296194																										AY224262	AF284322																																																																																																				AF284271																					AF353064																																																																																								AY224307					AY224362																																						
Macaca nemestrina												AB296202									HM764749											HM762939							AF284289		HM759578							HM762307																		HM759467										HM758157						HM071453																		HM765348			HM759038	HM757487			HM762602		HM763366							HM760170			HM761093	HM762364			HM756951																AF284238																				HM760695	AF353056	HM761283	HM758759				HM758863		HM765109																									HM759203	HM758559	HM764998			HM764582				HM763930			HM761864			HM758383								HM764252															HM762717						HM764476	HM761439									HM071257	AY224300		HM759991	HM757313	HM761599	AY224356		HM763194	HM759846	HM758042	HM756775	HM760350		HM760952	HM757796	HM764166	HM757049							HM760463		HM761706					HM763577													
Rhinopithecus brelichi												GU064917							AY232661																				JQ821866						AY232665																																																																																																																																																																																																																																																						
Macaca nigra												AB296207									HM764750											HM762940						AY224258	AF284318		HM759579				AY206522			HM762332																		HM759468										HM758158				HM760855		HM757660																		HM765349			HM759039	HM757488			HM762603		HM763367							HM760171			HM761094				HM756952																AF284267																				HM760696	AF353059	HM761284	HM758760				HM758864		HM765110																									HM759204	HM758560	HM764999			HM764583				HM763931			HM761865			HM758384								HM764253															HM762718						HM764477	HM761391									HM071252	AY224303		HM759992	HM757314	HM761600	AY224358		HM763195	HM759859	HM758043	HM756776	HM760351		HM760953	HM757797	HM764131	HM757050							HM760464		HM761707	HM762030				HM763578													
Macaca cyclopis												AB296171									HM764744											HM762933						AF424944	AF425289		HM759573							HM762221																		HM759460										HM758152				HM760850		HM757655																		HM765342			HM759034	HM757482			HM762596		HM763361							HM760164			HM761088	HM762359			HM756947																AF425274																				HM760688	AB162926	HM761278	HM758752				HM758858		HM765104																									HM759198	HM758554	HM764991			HM764577				HM763925			HM761859			HM758376								HM764247															HM762712			HM763788				HM761389									HM757185	AY224276		HM759984	HM757308	HM761592	AY224331		HM763189	HM759786	HM758038	HM756770	HM760344		HM760947	HM757791	HM764168	HM757044							HM760458		HM761701	HM762025																	
Macaca sylvanus												AB296227									HM764754											HM762945						AF424971	AF284326		HM759583				AM492837			HM762214																		HM759474										HM758162				HM760859		JF293211																		HM765355			HM759043	HM757492			HM762609		HM763371							HM760177			HM761098	HM762367			HM756955																AF284274																				HM760700	AF353036	HM761288	HM758766				HM758868		HM765114																									HM759208	HM758564	HM765005			HM764587				HM763935			HM761869			HM758390								HM764257															HM762722			HM763794			HM764483	HM761395									HM757192	AY224313		HM759998	HM757318	HM761606	AY224367		HM763199	HM759740	HM758046	HM756780	HM760357		HM760957	HM757801	HM764097	HM757054							HM760468		HM761711	HM762034				HM763582													
Macaca sinica												AB296199																										AY224266	AF284324						AF383992																																																																																														AF284273																																																																																																													AY224311					AY224366																																						
