taxon	ArgKin	RpS5	IDH	IDH.1	isocitrate-dehydrogenase	MDH	MDH.1	RT	RpS2	CAD	MA	SDMA	Wgl	PGI	cytb	RT.1	12S-ribosomal-RNA	wgl	unknown	H3	CAD.1	MDH.2	similar-to-reverse-transcriptase	16S-ribosomal-RNA	RpS5.1	cytochrome-oxidase-subunit-2	elongation-factor-1-alpha	28S-ribosomal-RNA	28S-ribosomal-RNA.1	RT.2	unknown.1	unknown.2	12S-ribosomal-RNA.1	12S-ribosomal-RNA.2	IDH.2	CAD.2	cytb.1	cytb.2	CeV1	COI	CAD.3	CAD.4	COI.1	EF1-a	unknown.3	COI.2	LWRh1	nd1	28S-ribosomal-RNA.2	ND5	ND1	16S-ribosomal-RNA.1	ND1.1	tRNA-Val	GAPDH	
Scolitantides orion																				HQ917991			HQ284528									HQ606446								FJ664038			HQ918043	AY675394					HQ917959							
Lampides boeticus															EU919376				AY556544	GQ128819																				HQ004573				GU372675					GQ128537			JQ421862				
Aricia nicias																			JX678196	GQ128785																				HM871928	GQ128612			GQ128681		JX678099			GQ128502							
Limenitis camilla				HQ291221																						DQ117886														HQ957217				EF643324			EF638839			AB175870					HQ291201	
Erebia cassioides																										EU037862							AY346238	AY346238																EU037802	AF229963	AF214618	AF229963			
Melanargia galathea																		GQ201379							EU528444															GQ200941				DQ338993							AF229933	GQ201254	AF229933		EU528398	
Plebejus argus																			AY556563	GQ128782			HQ284503			EU409357														HQ004966	GQ128609			JN581094					GQ128499							
Arethusana arethusa																		DQ338728							GQ357626															HQ004004				DQ339018							AF229938	AF214594	AF229938		GQ357500	
Boloria napaea	GQ864525				GQ865074				GQ865301						EU650054						GQ864621																			GQ864746				GQ864840											GQ864936	
Lasiommata megera																		DQ176326							GQ357516															DQ176351				AY090179							AF229960	AF214615	AF229960		GQ357388	
Glaucopsyche alexis																			GQ166171	HQ917971						AJ505068														HQ004499			HQ918026	AY675366				AJ505085	HQ917939							
Araschnia levana	GQ864516	GQ865391			GQ865064		GQ865171			GQ864610																														AY248780				GQ864829											GQ864925	
Aporia crataegi		EU141394															DQ150031							DQ150067		DQ463398									EU141553					HQ003988		EU141316								AB044622				DQ149995		
Polygonia calbum		FJ639569			HQ735006		HQ735028			HQ734879					JQ924430																									HQ005008				FJ650363								DQ784716			FJ639514	
Argynnis paphia	EU141285				EU141580				EU141699						EU650051						EU141343																			HQ004042				AY090166								DQ784691			EU141519	
Melitaea cinxia		EU141420			GU263934		EU141643							GU263969																										AY788656				FJ462310		JF415713						AF186865			EU141518	
Euphydryas aurinia		HQ424731			GU263904		GU263978							GU213431	AF216360																									AF187746				AY788743		HQ004481						AF153941				
Pieris brassicae											EU137126	EU137128					DQ150033							DQ150069														EF165026		HQ004916										AM283091		AM283058		DQ149997		
Vanessa atalanta	GQ864589	HQ735034			GQ865155		GQ865275			GQ864722																														HQ734906				AY090187						DQ028755					HQ734959	
Aglais urticae	GQ864509	FJ639577			GQ865055		GQ865161			GQ864599					JQ924426																									HQ003952				AY248811								EU334566			FJ639522	
Satyrus actaea			GQ865146			GQ865262												GQ864495							GQ865494											GQ864709				DQ338871				GQ864901								AF214596	AF229941		GQ865030	
Phengaris alcon								DQ836376								DQ823007				HQ917973			DQ823015							DQ823033	HQ606388									HQ004706			HQ918029	JN160195					HQ917941							
Vanessa cardui	HQ734851	HQ735031			HQ734993		HQ735015			HQ734873					JQ924434																									HQ990393				HQ734947						DQ028758		JQ416067			HQ734971	
Aphantopus hyperantus			JN205006			JN205024												JN204924							GQ357588								AY351417	AY351417		JN204940				FJ663268				AY090177								AF214590	AF229934		JN204988	
Pararge aegeria	EU141252		EU141529			EU141594												DQ338620							EU141372											EU141293				HQ004891				DQ338913							AF229957		AF229957		EU141476	
Maniola jurtina	EU141256		EU141534			EU141599												AY090147							EU141376								AY346249	AY346249		EU141298				AY090214				AY090180											EU141481	
Brintesia circe	EU141251		EU141527			EU141592												DQ338729							EU141370											EU141291				HQ004142				DQ339020							AF229946	AF214601	AF229946		EU141474	
Phengaris nausithous								DQ836386								DQ823002				HQ917976			DQ823012			AJ505063				DQ823032	HQ606409	HQ606405								HQ004716			HQ918135	HQ918115				AJ505078	HQ917944							
Pieris rapae		JN205036									EU137135	EU137136					DQ150034			GU066918				DQ150070		AF014158	EU414696								JN205008			EF165027		HQ990409		GQ283572							AY954551	AB044594				DQ149998		
