name	species	genus	family	order	class	phylum	kingdom
Alstonia macrophylla	693366	52821	4056	4055		35493	33090
Alstonia plumosa	489667	52821	4056	4055		35493	33090
Alstonia scholaris	52822	52821	4056	4055		35493	33090
Alstonia venenata	994907	52821	4056	4055		35493	33090
Alyxia buxifolia	141528	141527	4056	4055		35493	33090
Alyxia grandis	429252	141527	4056	4055		35493	33090
Alyxia loesneriana	489668	141527	4056	4055		35493	33090
Alyxia oblongata	429253	141527	4056	4055		35493	33090
Alyxia reinwardtii	403097	141527	4056	4055		35493	33090
Alyxia ruscifolia	184265	141527	4056	4055		35493	33090
Alyxia spicata	429254	141527	4056	4055		35493	33090
Amaioua corymbosa	136669	136668	24966	4055		35493	33090
Amaioua guianensis	136670	136668	24966	4055		35493	33090
Amalocalyx microlobus	429508	429507	4056	4055		35493	33090
Amaracarpus grandifolius	189130	88291	24966	4055		35493	33090
Amaracarpus kochii	189131	88291	24966	4055		35493	33090
Ambelania acida	403087	403086	4056	4055		35493	33090
Amblyopetalum coccineum	276786	276785	4056	4055		35493	33090
Amphiasma benguellense	60350	60349	24966	4055		35493	33090
Amphiasma luzuloides	120124	60349	24966	4055		35493	33090
Amphidasya ambigua	61933	61922	24966	4055		35493	33090
Amphidasya colombiana	128269	61922	24966	4055		35493	33090
Amphidasya longicalycina	477782	61922	24966	4055		35493	33090
Amphineurion marginatum	184382	792595	4056	4055		35493	33090
Amphistemon humbertii	884208	884207	24966	4055		35493	33090
Amphistemon rakotonasolianus	884209	884207	24966	4055		35493	33090
Amsonia elliptica	403098	141529	4056	4055		35493	33090
Amsonia hubrichtii	946328	141529	4056	4055		35493	33090
Amsonia kearneyana	245833	141529	4056	4055		35493	33090
Amsonia orientalis	141609	141529	4056	4055		35493	33090
Amsonia tabernaemontana	144544	141529	4056	4055		35493	33090
Ancylanthos rubiginosus	258737	258736	24966	4055		35493	33090
Ancylobotrys petersiana	184390	184389	4056	4055		35493	33090
Androya decaryi	69049	69048	26468	4055		35493	33090
Anechites nerium	184262	184261	4056	4055		35493	33090
Angadenia berteroi	429510	429509	4056	4055		35493	33090
Angadenia sagraei	429535	429509	4056	4055		35493	33090
Anisotoma cordifolia	156232	156231	4056	4055		35493	33090
Anodendron oblongifolium	429488	429487	4056	4055		35493	33090
Anodendron paniculatum	429536	429487	4056	4055		35493	33090
Anomalluma dodsoniana	797392	197233	4056	4055		35493	33090
Anomalluma mccoyi	197234	197233	4056	4055		35493	33090
Anthocleista amplexicaulis	84934	26470	21472	4055		35493	33090
Anthocleista grandiflora	28539	26470	21472	4055		35493	33090
Anthocleista nobilis	339334	26470	21472	4055		35493	33090
Anthocleista scandens	84937	26470	21472	4055		35493	33090
Anthocleista schweinfurthii	94427	26470	21472	4055		35493	33090
Anthocleista vogelii	84938	26470	21472	4055		35493	33090
Anthorrhiza caerulea	128381	73529	24966	4055		35493	33090
Anthorrhiza clemensii	73530	73529	24966	4055		35493	33090
Anthospermum aethiopicum	158853	43443	24966	4055		35493	33090
Anthospermum herbaceum	43444	43443	24966	4055		35493	33090
Anthospermum tricostatum	158854	43443	24966	4055		35493	33090
Anthospermum welwitschii	392986	43443	24966	4055		35493	33090
Antirhea borbonica	271884	43445	24966	4055		35493	33090
Antirhea chinensis	336055	43445	24966	4055		35493	33090
Antirhea madagascariensis	768871	43445	24966	4055		35493	33090
Antirhea megacarpa	353861	43445	24966	4055		35493	33090
Antirhea obtusifolia	883762	43445	24966	4055		35493	33090
Antirhea rhamnoides	336045	43445	24966	4055		35493	33090
Antirhea smithii	336029	43445	24966	4055		35493	33090
Antonia ovata	60095	60094	26468	4055		35493	33090
Aoranthe castaneofulva	136961	61923	24966	4055		35493	33090
Aoranthe cladantha	339276	61923	24966	4055		35493	33090
Aoranthe penduliflora	61934	61923	24966	4055		35493	33090
Aphaenandra uniflora	296967	296966	24966	4055		35493	33090
Apocynum androsaemifolium	61254	13338	4056	4055		35493	33090
Apocynum cannabinum	13339	13338	4056	4055		35493	33090
Apocynum hendersonii	377127	13338	4056	4055		35493	33090
Apocynum pictum	377126	13338	4056	4055		35493	33090
Apocynum venetum	377125	13338	4056	4055		35493	33090
Appunia brachycalyx	659020	83574	24966	4055		35493	33090
Appunia calycina	659021	83574	24966	4055		35493	33090
Appunia debilis	659022	83574	24966	4055		35493	33090
Appunia guatemalensis	83575	83574	24966	4055		35493	33090
Appunia odontocalyx	659023	83574	24966	4055		35493	33090
Appunia tenuiflora	659024	83574	24966	4055		35493	33090
Apteranthes burchardii	481184	197235	4056	4055		35493	33090
Arachnothryx buddleioides	153733	128270	24966	4055		35493	33090
Arachnothryx chimboracensis	309437	128270	24966	4055		35493	33090
Arachnothryx colombiana	367078	128270	24966	4055		35493	33090
Arachnothryx cooperi	367079	128270	24966	4055		35493	33090
Arachnothryx fosbergii	128271	128270	24966	4055		35493	33090
Arachnothryx gracilispica	367080	128270	24966	4055		35493	33090
Arachnothryx guerrerensis	266102	128270	24966	4055		35493	33090
Arachnothryx laniflora	128272	128270	24966	4055		35493	33090
Arachnothryx leptodictya	367081	128270	24966	4055		35493	33090
Arachnothryx leucophylla	128273	128270	24966	4055		35493	33090
Arachnothryx linguiformis	367082	128270	24966	4055		35493	33090
Arachnothryx monteverdensis	367083	128270	24966	4055		35493	33090
Arachnothryx ovata	153734	128270	24966	4055		35493	33090
Arachnothryx secunda	367084	128270	24966	4055		35493	33090
Arachnothryx septicidalis	367085	128270	24966	4055		35493	33090
Arachnothryx torresii	367086	128270	24966	4055		35493	33090
Araujia angustifolia	276787	63462	4056	4055		35493	33090
Araujia hortorum	184271	63462	4056	4055		35493	33090
Araujia plumosa	276788	63462	4056	4055		35493	33090
Araujia sericifera	63463	63462	4056	4055		35493	33090
Arcytophyllum aristatum	120125	60351	24966	4055		35493	33090
Arcytophyllum capitatum	366911	60351	24966	4055		35493	33090
Arcytophyllum ciliolatum	172772	60351	24966	4055		35493	33090
Arcytophyllum ericoides	172773	60351	24966	4055		35493	33090
Arcytophyllum erilavarum	172774	60351	24966	4055		35493	33090
Arcytophyllum filiforme	366912	60351	24966	4055		35493	33090
Arcytophyllum lavarum	172775	60351	24966	4055		35493	33090
Arcytophyllum muticum	60352	60351	24966	4055		35493	33090
Arcytophyllum nitidum	172777	60351	24966	4055		35493	33090
Arcytophyllum peruvianum	172776	60351	24966	4055		35493	33090
Arcytophyllum rivetii	172778	60351	24966	4055		35493	33090
Arcytophyllum serpyllaceum	172779	60351	24966	4055		35493	33090
Arcytophyllum setosum	60353	60351	24966	4055		35493	33090
Arcytophyllum thymifolium	172780	60351	24966	4055		35493	33090
Arcytophyllum vernicosum	172781	60351	24966	4055		35493	33090
Argocoffeopsis eketensis	349135	349126	24966	4055		35493	33090
Argocoffeopsis rupestris	349127	349126	24966	4055		35493	33090
Argocoffeopsis scandens	349136	349126	24966	4055		35493	33090
Argostemma africanum	630346	58436	24966	4055		35493	33090
Argostemma bifolium	675702	58436	24966	4055		35493	33090
Argostemma brachyantherum	675703	58436	24966	4055		35493	33090
Argostemma elatostemma	675704	58436	24966	4055		35493	33090
Argostemma geesinkii	675705	58436	24966	4055		35493	33090
Argostemma gracile	675706	58436	24966	4055		35493	33090
Argostemma hookeri	58437	58436	24966	4055		35493	33090
Argostemma parvifolium	675707	58436	24966	4055		35493	33090
Argostemma psychotrichoides	675709	58436	24966	4055		35493	33090
Argostemma pumilum	564778	58436	24966	4055		35493	33090
Argostemma rupestre	60354	58436	24966	4055		35493	33090
Argostemma victorianum	545381	58436	24966	4055		35493	33090
Argostemma yappii	675710	58436	24966	4055		35493	33090
Ariadne shaferi	353891	353890	24966	4055		35493	33090
Aripuana cullmaniorum	94426	94425	21472	4055		35493	33090
Artia balansae	429512	429511	4056	4055		35493	33090
Asclepias albens	397853	21199	4056	4055		35493	33090
Asclepias albicans	659935	21199	4056	4055		35493	33090
Asclepias amplexicaulis	659936	21199	4056	4055		35493	33090
Asclepias angustifolia	528273	21199	4056	4055		35493	33090
Asclepias arenaria	659937	21199	4056	4055		35493	33090
Asclepias asperula	528274	21199	4056	4055		35493	33090
Asclepias atroviolacea	659939	21199	4056	4055		35493	33090
Asclepias aurea	659940	21199	4056	4055		35493	33090
Asclepias auriculata	659941	21199	4056	4055		35493	33090
Asclepias barjoniifolia	528276	21199	4056	4055		35493	33090
Asclepias boliviensis	528277	21199	4056	4055		35493	33090
Asclepias brachystephana	659942	21199	4056	4055		35493	33090
Asclepias brevipes	397854	21199	4056	4055		35493	33090
Asclepias californica	528278	21199	4056	4055		35493	33090
Asclepias candida	659944	21199	4056	4055		35493	33090
Asclepias cinerea	659945	21199	4056	4055		35493	33090
Asclepias circinalis	659946	21199	4056	4055		35493	33090
Asclepias connivens	659947	21199	4056	4055		35493	33090
Asclepias cordifolia	528280	21199	4056	4055		35493	33090
Asclepias coulteri	659948	21199	4056	4055		35493	33090
Asclepias cryptoceras	528281	21199	4056	4055		35493	33090
Asclepias cucullata	397856	21199	4056	4055		35493	33090
Asclepias curassavica	52823	21199	4056	4055		35493	33090
Asclepias curtissii	659950	21199	4056	4055		35493	33090
Asclepias cutleri	659951	21199	4056	4055		35493	33090
Asclepias densiflora	659952	21199	4056	4055		35493	33090
Asclepias elata	659953	21199	4056	4055		35493	33090
Asclepias elegantula	659954	21199	4056	4055		35493	33090
Asclepias emoryi	659955	21199	4056	4055		35493	33090
Asclepias engelmanniana	528283	21199	4056	4055		35493	33090
Asclepias eriocarpa	528284	21199	4056	4055		35493	33090
Asclepias erosa	528285	21199	4056	4055		35493	33090
Asclepias exaltata	28506	21199	4056	4055		35493	33090
Asclepias fascicularis	397857	21199	4056	4055		35493	33090
Asclepias feayi	659956	21199	4056	4055		35493	33090
Asclepias flava	659957	21199	4056	4055		35493	33090
Asclepias fournieri	659958	21199	4056	4055		35493	33090
Asclepias gentryi	659959	21199	4056	4055		35493	33090
Asclepias gibba	397858	21199	4056	4055		35493	33090
Asclepias glaucescens	528286	21199	4056	4055		35493	33090
Asclepias hallii	528287	21199	4056	4055		35493	33090
Asclepias hirtella	528288	21199	4056	4055		35493	33090
Asclepias humistrata	528289	21199	4056	4055		35493	33090
Asclepias hypoleuca	659960	21199	4056	4055		35493	33090
Asclepias inaequalis	397804	21199	4056	4055		35493	33090
Asclepias incarnata	330158	21199	4056	4055		35493	33090
Asclepias involucrata	659961	21199	4056	4055		35493	33090
Asclepias jaliscana	659962	21199	4056	4055		35493	33090
Asclepias jorgeana	659963	21199	4056	4055		35493	33090
Asclepias labriformis	659964	21199	4056	4055		35493	33090
Asclepias lanceolata	659965	21199	4056	4055		35493	33090
Asclepias latifolia	528292	21199	4056	4055		35493	33090
Asclepias lemmonii	659966	21199	4056	4055		35493	33090
Asclepias leptopus	659967	21199	4056	4055		35493	33090
Asclepias linaria	397859	21199	4056	4055		35493	33090
Asclepias linearis	659968	21199	4056	4055		35493	33090
Asclepias longifolia	397860	21199	4056	4055		35493	33090
Asclepias lynchiana	659969	21199	4056	4055		35493	33090
Asclepias macropus	659970	21199	4056	4055		35493	33090
Asclepias macrosperma	659971	21199	4056	4055		35493	33090
Asclepias macrotis	659972	21199	4056	4055		35493	33090
Asclepias macroura	659973	21199	4056	4055		35493	33090
Asclepias masonii	659974	21199	4056	4055		35493	33090
Asclepias mcvaughii	659975	21199	4056	4055		35493	33090
Asclepias meadii	659976	21199	4056	4055		35493	33090
Asclepias melantha	659977	21199	4056	4055		35493	33090
Asclepias mellodora	219223	21199	4056	4055		35493	33090
Asclepias mexicana	659978	21199	4056	4055		35493	33090
Asclepias michauxii	659979	21199	4056	4055		35493	33090
Asclepias mirifica	659980	21199	4056	4055		35493	33090
Asclepias multicaulis	659981	21199	4056	4055		35493	33090
Asclepias nivea	528293	21199	4056	4055		35493	33090
Asclepias notha	659982	21199	4056	4055		35493	33090
Asclepias nummularia	659983	21199	4056	4055		35493	33090
Asclepias nyctaginifolia	528294	21199	4056	4055		35493	33090
Asclepias obovata	659984	21199	4056	4055		35493	33090
Asclepias oenotheroides	528295	21199	4056	4055		35493	33090
Asclepias otarioides	659985	21199	4056	4055		35493	33090
Asclepias ovalifolia	659986	21199	4056	4055		35493	33090
Asclepias ovata	659987	21199	4056	4055		35493	33090
Asclepias pedicellata	659988	21199	4056	4055		35493	33090
Asclepias pellucida	659989	21199	4056	4055		35493	33090
Asclepias perennis	528296	21199	4056	4055		35493	33090
Asclepias phenax	659990	21199	4056	4055		35493	33090
Asclepias praemorsa	397852	21199	4056	4055		35493	33090
Asclepias pratensis	659991	21199	4056	4055		35493	33090
Asclepias pringlei	659992	21199	4056	4055		35493	33090
Asclepias prostrata	659993	21199	4056	4055		35493	33090
Asclepias puberula	659994	21199	4056	4055		35493	33090
Asclepias pumila	528297	21199	4056	4055		35493	33090
Asclepias purpurascens	528298	21199	4056	4055		35493	33090
Asclepias quadrifolia	659995	21199	4056	4055		35493	33090
Asclepias quinquedentata	659932	21199	4056	4055		35493	33090
Asclepias randii	659996	21199	4056	4055		35493	33090
Asclepias rosea	659997	21199	4056	4055		35493	33090
Asclepias rubra	659998	21199	4056	4055		35493	33090
Asclepias ruthiae	659999	21199	4056	4055		35493	33090
Asclepias sanjuanensis	660000	21199	4056	4055		35493	33090
Asclepias scaposa	660001	21199	4056	4055		35493	33090
Asclepias schaffneri	660002	21199	4056	4055		35493	33090
Asclepias scheryi	660003	21199	4056	4055		35493	33090
Asclepias similis	660004	21199	4056	4055		35493	33090
Asclepias solanoana	660005	21199	4056	4055		35493	33090
Asclepias speciosa	528299	21199	4056	4055		35493	33090
Asclepias standleyi	660007	21199	4056	4055		35493	33090
Asclepias stellifera	397851	21199	4056	4055		35493	33090
Asclepias stenophylla	660008	21199	4056	4055		35493	33090
Asclepias subaphylla	660009	21199	4056	4055		35493	33090
Asclepias subulata	528300	21199	4056	4055		35493	33090
Asclepias subverticillata	528301	21199	4056	4055		35493	33090
Asclepias sullivantii	528302	21199	4056	4055		35493	33090
Asclepias syriaca	48545	21199	4056	4055		35493	33090
Asclepias texana	528303	21199	4056	4055		35493	33090
Asclepias tomentosa	660010	21199	4056	4055		35493	33090
Asclepias tuberosa	141466	21199	4056	4055		35493	33090
Asclepias uncialis	660012	21199	4056	4055		35493	33090
Asclepias variegata	660013	21199	4056	4055		35493	33090
Asclepias verticillata	528305	21199	4056	4055		35493	33090
Asclepias vestita	660014	21199	4056	4055		35493	33090
Asclepias vinosa	660017	21199	4056	4055		35493	33090
Asclepias viridiflora	528306	21199	4056	4055		35493	33090
Asclepias viridis	113195	21199	4056	4055		35493	33090
Asclepias viridula	660018	21199	4056	4055		35493	33090
Asclepias virletii	660019	21199	4056	4055		35493	33090
Asclepias welshii	660020	21199	4056	4055		35493	33090
Asclepias woodii	397850	21199	4056	4055		35493	33090
Asclepias woodsoniana	660021	21199	4056	4055		35493	33090
Asclepias zanthodacryon	660022	21199	4056	4055		35493	33090
Asemnantha pubescens	128275	128274	24966	4055		35493	33090
Asperula albovii	715638	25003	24966	4055		35493	33090
Asperula arcadiensis	60037	25003	24966	4055		35493	33090
Asperula arvensis	715639	25003	24966	4055		35493	33090
Asperula chlorantha	35890	25003	24966	4055		35493	33090
Asperula cynanchica	35891	25003	24966	4055		35493	33090
Asperula glomerata	715640	25003	24966	4055		35493	33090
Asperula gussonei	35892	25003	24966	4055		35493	33090
Asperula hirta	35893	25003	24966	4055		35493	33090
Asperula laevigata	29781	25003	24966	4055		35493	33090
Asperula molluginoides	715642	25003	24966	4055		35493	33090
Asperula orientalis	715643	25003	24966	4055		35493	33090
Asperula purpurea	35894	25003	24966	4055		35493	33090
Asperula setosa	715644	25003	24966	4055		35493	33090
Asperula taurina	715646	25003	24966	4055		35493	33090
Asperula tinctoria	29782	25003	24966	4055		35493	33090
Aspidoglossum connatum	397848	219224	4056	4055		35493	33090
Aspidoglossum delagoense	397849	219224	4056	4055		35493	33090
Aspidoglossum heterophyllum	378856	219224	4056	4055		35493	33090
Aspidoglossum ovalifolium	219225	219224	4056	4055		35493	33090
Aspidonepsis diploglossa	397847	397845	4056	4055		35493	33090
Aspidonepsis flava	397846	397845	4056	4055		35493	33090
Aspidosperma australe	141531	84858	4056	4055		35493	33090
Aspidosperma cruentum	597275	84858	4056	4055		35493	33090
Aspidosperma cylindrocarpon	403099	84858	4056	4055		35493	33090
Aspidosperma desmanthum	141533	84858	4056	4055		35493	33090
Aspidosperma marcgravianum	597276	84858	4056	4055		35493	33090
Aspidosperma megalocarpon	84859	84858	4056	4055		35493	33090
Aspidosperma myristicifolium	141534	84858	4056	4055		35493	33090
Aspidosperma pyrifolium	141535	84858	4056	4055		35493	33090
Aspidosperma quebracho-blanco	141536	84858	4056	4055		35493	33090
Aspidosperma spruceanum	681412	84858	4056	4055		35493	33090
Aspidosperma triternatum	184260	84858	4056	4055		35493	33090
Astephanus marginatus	379201	157401	4056	4055		35493	33090
Astephanus neglectus	157403	157401	4056	4055		35493	33090
Astephanus triflorus	157404	157401	4056	4055		35493	33090
Astiella delicatula	884211	884210	24966	4055		35493	33090
Atherandra acuminata	413263	413262	4056	4055		35493	33090
Atractocarpus balansaeanus	1008955	136886	24966	4055		35493	33090
Atractocarpus chartaceus	339277	136886	24966	4055		35493	33090
Atractocarpus stipularis	136887	136886	24966	4055		35493	33090
Atractogyne gabonii	136889	136888	24966	4055		35493	33090
Augusta austrocaledonica	440679	128276	24966	4055		35493	33090
Augusta longifolia	128277	128276	24966	4055		35493	33090
Augusta rivalis	128278	128276	24966	4055		35493	33090
Aulacocalyx jasminiflora	339279	339278	24966	4055		35493	33090
Australluma peschii	197240	197239	4056	4055		35493	33090
Badusa corymbifera	128280	128279	24966	4055		35493	33090
Badusa palauensis	297551	128279	24966	4055		35493	33090
Baissea leonensis	69377	69376	4056	4055		35493	33090
Baissea multiflora	429255	69376	4056	4055		35493	33090
Baissea zygodioides	351451	69376	4056	4055		35493	33090
Balmea stormae	768873	768872	24966	4055		35493	33090
Barjonia chlorifolia	219227	219226	4056	4055		35493	33090
Baroniella camptocarpoides	413265	413264	4056	4055		35493	33090
Bartonia paniculata	544958	84867	21472	4055		35493	33090
Bartonia verna	544962	84867	21472	4055		35493	33090
Bartonia virginica	84868	84867	21472	4055		35493	33090
Baseonema gregorii	413267	413266	4056	4055		35493	33090
Batesanthus purpureus	413269	413268	4056	4055		35493	33090
Bathysa australis	717058	128281	24966	4055		35493	33090
Bathysa bracteosa	693326	128281	24966	4055		35493	33090
Bathysa cuspidata	693327	128281	24966	4055		35493	33090
Bathysa gymnocarpa	693329	128281	24966	4055		35493	33090
Bathysa obovata	693330	128281	24966	4055		35493	33090
Bathysa peruviana	339280	128281	24966	4055		35493	33090
Bathysa stipulata	693331	128281	24966	4055		35493	33090
Bathysa veraguensis	128282	128281	24966	4055		35493	33090
Batopedina pulvinellata	120127	120126	24966	4055		35493	33090
Baynesia lophophora	215620	215619	4056	4055		35493	33090
Beaumontia grandiflora	63464	63460	4056	4055		35493	33090
Belonophora coriacea	339281	339270	24966	4055		35493	33090
Benkara malabarica	136891	136890	24966	4055		35493	33090
Bertiera aethiopica	172255	43447	24966	4055		35493	33090
Bertiera bicarpellata	349137	43447	24966	4055		35493	33090
Bertiera breviflora	43448	43447	24966	4055		35493	33090
Bertiera dewevrei	339282	43447	24966	4055		35493	33090
Bertiera guianensis	73949	43447	24966	4055		35493	33090
Bertiera laxissima	349138	43447	24966	4055		35493	33090
Bertiera longithyrsa	1008956	43447	24966	4055		35493	33090
Bikkia palauensis	297555	128283	24966	4055		35493	33090
Bikkia pancherii	297556	128283	24966	4055		35493	33090
Bikkia tetrandra	128284	128283	24966	4055		35493	33090
Biondia henryi	157406	157405	4056	4055		35493	33090
Bisgoeppertia gracilis	210930	210929	21472	4055		35493	33090
Bisgoeppertia scandens	568272	210929	21472	4055		35493	33090
Blackstonia acuminata	82735	82700	21472	4055		35493	33090
Blackstonia grandiflora	225564	82700	21472	4055		35493	33090
Blackstonia imperfoliata	82701	82700	21472	4055		35493	33090
Blackstonia perfoliata	82736	82700	21472	4055		35493	33090
Blepharidium guatemalense	128286	128285	24966	4055		35493	33090
Blepharodon glaucescens	348056	126742	4056	4055		35493	33090
Blepharodon grandiflorum	126743	126742	4056	4055		35493	33090
Blepharodon harlingii	276790	126742	4056	4055		35493	33090
Blepharodon lineare	219228	126742	4056	4055		35493	33090
Blepharodon mucronatum	126744	126742	4056	4055		35493	33090
Blepharodon pictum	219229	126742	4056	4055		35493	33090
Blyttia fruticulosa	157408	157407	4056	4055		35493	33090
Bobea elatior	336030	153736	24966	4055		35493	33090
Bobea gaudichaudii	768874	153736	24966	4055		35493	33090
Bobea mannii	153737	153736	24966	4055		35493	33090
Bobea sandwicensis	336031	153736	24966	4055		35493	33090
Boholia nematostylis	515573	353835	24966	4055		35493	33090
Bonyunia minor	84939	84935	26468	4055		35493	33090
Bonyunia superba	84936	84935	26468	4055		35493	33090
Borojoa panamensis	136671	114519	24966	4055		35493	33090
Borojoa patinoi	136672	114519	24966	4055		35493	33090
Borreria assurgens	35917	60355	24966	4055		35493	33090
Borreria hispida	60356	60355	24966	4055		35493	33090
Bothriospora corymbosa	153739	153738	24966	4055		35493	33090
Botryarrhena pendula	569939	569938	24966	4055		35493	33090
Boucerosia frerei	197242	197241	4056	4055		35493	33090
Boucerosia lasiantha	500442	197241	4056	4055		35493	33090
Boucerosia nilagiriana	889928	197241	4056	4055		35493	33090
Boucerosia pauciflora	500443	197241	4056	4055		35493	33090
Boucerosia procumbens	797403	197241	4056	4055		35493	33090
Boucerosia truncatocoronata	797407	197241	4056	4055		35493	33090
Boucerosia umbellata	197243	120809	4056	4055		35493	33090
Bouvardia ternifolia	29783	25027	24966	4055		35493	33090
Brachystelma burchellii	156244	156233	4056	4055		35493	33090
Brachystelma christianeae	156255	156233	4056	4055		35493	33090
Brachystelma edule	491996	156233	4056	4055		35493	33090
Brachystelma ellipticum	156234	156233	4056	4055		35493	33090
Brachystelma filifolium	156256	156233	4056	4055		35493	33090
Brachystelma franksiae	156886	156233	4056	4055		35493	33090
Brachystelma luteum	379210	156233	4056	4055		35493	33090
Brachystelma macropetalum	156235	156233	4056	4055		35493	33090
Brachystelma malwanense	480524	156233	4056	4055		35493	33090
Brachystelma nanum	156236	156233	4056	4055		35493	33090
Brachystelma naorojii	480525	156233	4056	4055		35493	33090
Brachystelma pygmaeum	156237	156233	4056	4055		35493	33090
Brachystelma rubellum	156257	156233	4056	4055		35493	33090
Brachystelma schizoglossoides	156887	156233	4056	4055		35493	33090
Bremeria erectiloba	296954	1005934	24966	4055		35493	33090
Bremeria landia	1008957	1005934	24966	4055		35493	33090
Bremeria latisepala	296953	43523	24966	4055		35493	33090
Bremeria pervillei	296956	43523	24966	4055		35493	33090
Bremeria vestita	296955	1005934	24966	4055		35493	33090
Breonadia salicina	170040	170039	24966	4055		35493	33090
Breonia chinensis	170042	170041	24966	4055		35493	33090
Breonia decaryana	170043	170041	24966	4055		35493	33090
Breonia fragifera	640125	170041	24966	4055		35493	33090
Breonia havilandiana	170044	170041	24966	4055		35493	33090
Breonia macrocarpa	170045	170041	24966	4055		35493	33090
